idiom,language,frequency,source_idiom,source_language
etter fattig evne,nno,16901.0,etter fattig evne,nob
etter oss kjem syndfloda,nno,234.0,etter oss kommer syndfloden,nob
etter sitt eige hovud,nno,1391.0,etter sitt eget hode,nob
faen i helvete,nno,9847.0,faen i helvete,nob
falla i fisk,nno,237.0,falle i fisk,nob
falla i freisting,nno,172.0,falle i fristelse,nob
falla i god jord,nno,431.0,falle i god jord,nob
falla i stavar,nno,173.0,falle i staver,nob
falla i søvn,nno,113.0,falle i søvn,nob
falla i tankar,nno,134.0,falle i tanker,nob
falla til jorda,nno,153.0,falle til jorden,nob
famle i mørket,nno,1365.0,famle i mørket,nob
famle seg fram,nno,4715.0,famle seg frem,nob
fanden er laus,nno,181.0,fanden er løs,nob
fattig i ånda,nno,111.0,fattig i ånden,nob
femte hjul på vogna,nno,3316.0,femte hjul på vogna,nob
fingrane frå fatet,nno,936.0,fingrene fra fatet,nob
finne nåla i høystakken,nno,732.0,finne nåla i høystakken,nob
finne seg sjølv,nno,2805.0,finne seg selv,nob
finne seg til rette,nno,89635.0,finne seg til rette,nob
fire på krava,nno,658.0,fire på kravene,nob
fiske i rørt vatn,nno,422.0,fiske i rørt vann,nob
fjør i hatten,nno,6870.0,fjær i hatten,nob
flagga på halv stong,nno,554.0,flagge på halv stang,nob
flat som ei pannekake,nno,1129.0,flat som en pannekake,nob
flittig som ein maur,nno,167.0,flittig som en maur,nob
fly etter jentene,nno,477.0,fly etter jentene,nob
fly i flint,nno,4246.0,fly i flint,nob
for å vere på den sikre sida,nno,2537.0,for alle tilfellers skyld,nob
for alt i verda,nno,3427.0,for alt i verden,nob
for døve øyre,nno,670.0,for døve ører,nob
for eiga maskin,nno,2391.0,for egen maskin,nob
for full rulle,nno,2010.0,for full rulle,nob
for godt til å vera sant,nno,1210.0,for godt til å være sant,nob
for knappar og glansbilete,nno,145.0,for knapper og glansbilder,nob
for lukka dører,nno,2402.0,for lukkede dører,nob
for ordens skyld,nno,167806.0,for ordens skyld,nob
for skams skuld,nno,1236.0,for skams skyld,nob
for syns skuld,nno,1503.0,for syns skyld,nob
for tusende gong,nno,212.0,for tusende gang,nob
for å gjera ei lang historie kort,nno,370.0,for å gjøre en lang historie kort,nob
forstå det den som kan,nno,39776.0,forstå det den som kan,nob
fortare enn svint,nno,1085.0,fortere enn svint,nob
føre si tid,nno,2995.0,forut for sin tid,nob
frå a til å,nno,5770.0,fra a til å,nob
frå den eine dagen til den andre,nno,637.0,fra den ene dagen til den andre,nob
frå det eine til det andre,nno,5864.0,fra det ene til det andre,nob
frå dør til dør,nno,7107.0,fra dør til dør,nob
frå første stund,nno,22505.0,fra første stund,nob
frå morgon til kveld,nno,14168.0,fra morgen til kveld,nob
frå sans og samling,nno,1662.0,fra sans og samling,nob
frå topp til tå,nno,5685.0,fra topp til tå,nob
frå øvste hylle,nno,1992.0,fra øverste hylle,nob
fram og tilbake er like langt,nno,2406.0,fram og tilbake er like langt,nob
fred og ingen fare,nno,39141.0,fred og ingen fare,nob
frekk som flatlusa,nno,154.0,frekk som flatlusa,nob
fri som fuglen,nno,16694.0,fri som fuglen,nob
frisk som ein fisk,nno,1532.0,frisk som en fisk,nob
fryd og gammen,nno,58816.0,fryd og gammen,nob
full som ei alke,nno,714.0,full som en alke,nob
fullt hus og stormande jubel,nno,1064.0,fullt hus og stormende jubel,nob
fullt og heilt,nno,23535.0,fullt og helt,nob
fy faen i helvete,nno,281.0,fy faen i helvete,nob
fylla ut biletet,nno,125.0,fylle ut bildet,nob
fyr i teltet,nno,920.0,fyr i teltet,nob
fyr og flamme,nno,81433.0,fyr og flamme,nob
få balanse i rekneskapen,nno,705.0,få balanse i regnskapet,nob
få det glatte lag,nno,722.0,få det glatte lag,nob
få ein flying start,nno,111.0,få en flying start,nob
få ei oppblomstring,nno,170.0,få en oppblomstring,nob
få fnatt av,nno,616.0,få fnatt av,nob
få fritt løp,nno,6841.0,få fritt løp,nob
få gult kort,nno,1603.0,få gult kort,nob
få kalde føter,nno,381.0,få kalde føtter,nob
få køyrt seg,nno,337.0,få kjørt seg,nob
få kniven på strupen,nno,874.0,få kniven på strupen,nob
få lønn for strevet,nno,3879.0,få lønn for strevet,nob
få mykje for pengane,nno,123.0,få mye for pengene,nob
få noko for seg,nno,152.0,få noe for seg,nob
få noko å bita i,nno,121.0,få noe å bite i,nob
få opp dampen,nno,3920.0,få opp dampen,nob
få på pukkelen,nno,1265.0,få på pukkelen,nob
få riper i lakken,nno,689.0,få riper i lakken,nob
få ro i sjela,nno,371.0,få ro i sjelen,nob
få seg ein smekk,nno,222.0,få seg en smekk,nob
få sin del av kaka,nno,2475.0,få sin del av kaken,nob
få passet sitt påskrevet,nno,480.0,få sitt pass påskrevet,nob
få tida til å gå,nno,9795.0,få tiden til å gå,nob
få tresmak i baken,nno,130.0,få tresmak i baken,nob
få ut fingeren,nno,4874.0,få ut fingeren,nob
få vatn i munnen,nno,128.0,få vann i munnen,nob
få vatn på mølla,nno,207.0,få vann på mølla,nob
få vind i segla,nno,465.0,få vind i seilene,nob
få auga opp for,nno,1480.0,få øynene opp for,nob
kjenna seg for,nno,479.0,føle seg for,nob
føla seg fram,nno,202.0,føle seg fram,nob
kjenna seg heime,nno,2974.0,føle seg hjemme,nob
følgje med i timen,nno,159.0,følge med i timen,nob
før hanen gjel,nno,351.0,før hanen galer,nob
føre for vidt,nno,23453.0,føre for vidt,nob
føre i marken,nno,11303.0,føre i marken,nob
føre stort hus,nno,498.0,føre stort hus,nob
først og fremst,nno,3011665.0,først og fremst,nob
gammel kjærlighet ruster ikke,nob,5890.0,gammal kjærleik rustar ikkje,nno
gammel vane er vond å vende,nob,5903.0,gammal vane er vond å vende,nno
gammal kjærleik rustar ikkje,nno,115.0,gammel kjærlighet ruster ikke,nob
gammal og grå,nno,857.0,gammel og grå,nob
gong på gong,nno,51542.0,gang på gang,nob
gapa over for mykje,nno,273.0,gape over for mye,nob
gi avkall på noko,nno,242.0,gi avkall på noe,nob
gi ein skjerv,nno,134.0,gi en skjerv,nob
gi igjen med renter,nno,138.0,gi igjen med renter,nob
gi og ta,nno,41381.0,gi og ta,nob
gi på båten,nno,1895.0,gi på båten,nob
gi seg sjølv,nno,1218.0,gi seg selv,nob
gi seg til kjenne,nno,20014.0,gi seg til kjenne,nob
gi så det svir,nno,1612.0,gi så det svir,nob
gi ved dørene,nno,4326.0,gi ved dørene,nob
gjev det var så vel,nno,574.0,gid det var så vel,nob
gjera det heilt store,nno,253.0,gjøre det helt store,nob
gjera ein vri,nno,382.0,gjøre en vri,nob
gjera eit godt kjøp,nno,253.0,gjøre et godt kjøp,nob
gjera eit varp,nno,196.0,gjøre et varp,nob
gjera gagns arbeid,nno,958.0,gjøre gagns arbeid,nob
gjera reint bord,nno,748.0,gjøre rent bord,nob
gjera rett og skil,nno,1014.0,gjøre rett og skjell,nob
gjera seg hard,nno,551.0,gjøre seg hard,nob
gjera seg liten,nno,316.0,gjøre seg liten,nob
gjera sitt ytste,nno,167.0,gjøre sitt ytterste,nob
gjera svart til kvitt,nno,232.0,gjøre svart til hvitt,nob
gjera svenske av seg,nno,131.0,gjøre svenske av seg,nob
gjera veg i vellinga,nno,166.0,gjøre vei i vellingen,nob
glatt som ei barnerumpe,nno,102.0,glatt som en barnerumpe,nob
glimt i auget,nno,5836.0,glimt i øyet,nob
gni salt i såret,nno,490.0,gni salt i såret,nob
gni seg i hendene,nno,12832.0,gni seg i hendene,nob
god som gull,nno,22274.0,god som gull,nob
gode miner til slett spel,nno,399.0,gode miner til slett spill,nob
gods og gull,nno,33467.0,gods og gull,nob
"godt brølt, løve",nno,237.0,"godt brølt, løve",nob
grave si eiga grav,nno,235.0,grave sin egen grav,nob
grøn i ansiktet,nno,175.0,grønn i ansiktet,nob
gudsord frå landet,nno,340.0,gudsord fra landet,nob
gul og blå,nno,20928.0,gul og blå,nob
guten i røyken,nno,503.0,gutten i røyken,nob
gå ad undas,nno,2628.0,gå ad undas,nob
gå arm i arm,nno,4361.0,gå arm i arm,nob
gå av skaftet,nno,3244.0,gå av hengslene,nob
gå av med sigeren,nno,1117.0,gå av med seieren,nob
gå av seg sjølv,nno,1301.0,gå av seg selv,nob
gå av stabelen,nno,98623.0,gå av stabelen,nob
gå både vinter og vår,nno,6886.0,gå både vinter og vår,nob
gå den vegen høna sparkar,nno,154.0,gå den veien høna sparker,nob
gå fem på,nno,2196.0,gå fem på,nob
gå for eiga maskin,nno,200.0,gå for egen maskin,nob
gå for full fres,nno,189.0,gå for full fres,nob
gå for fulle hus,nno,517.0,gå for fulle hus,nob
gå for halv maskin,nno,1448.0,gå for halv maskin,nob
gå for lut og kaldt vatn,nno,995.0,gå for lut og kaldt vann,nob
gå for seg,nno,35286.0,gå for seg,nob
gå frå dør til dør,nno,1867.0,gå fra dør til dør,nob
gå frå hus til hus,nno,1061.0,gå fra hus til hus,nob
gå frå hand til hand,nno,126.0,gå fra hånd til hånd,nob
gå frå ord til handling,nno,188.0,gå fra ord til handling,nob
gå frå vondt til verre,nno,136.0,gå fra vondt til verre,nob
gå gjennom eld og vatn,nno,214.0,gå gjennom ild og vann,nob
gå gjennom eld og vatn for,nno,133.0,gå gjennom ild og vann for,nob
gå gjennom marg og bein,nno,368.0,gå gjennom marg og bein,nob
gå glipp av noko,nno,886.0,gå glipp av noe,nob
gå grundig til verks,nno,7431.0,gå grundig til verks,nob
gå heile vegen,nno,1221.0,gå hele veien,nob
gå hus forbi,nno,7644.0,gå hus forbi,nob
gå kvar sin veg,nno,512.0,gå hver sin vei,nob
gå kvar til sitt,nno,477.0,gå hver til sitt,nob
gå i ball,nno,644.0,gå i ball,nob
gå i baret,nno,7397.0,gå i baret,nob
gå i berg,nno,379.0,gå i berg,nob
gå i boks,nno,4587.0,gå i boks,nob
gå i dass,nno,1305.0,gå i dass,nob
gå i dekning,nno,24204.0,gå i dekning,nob
gå i dørken,nno,886.0,gå i dørken,nob
gå i filler,nno,1059.0,gå i filler,nob
gå i garnet,nno,839.0,gå i garnet,nob
gå i gåsegang,nno,908.0,gå i gåsegang,nob
gå i hi,nno,6991.0,gå i hi,nob
gå i hundane,nno,586.0,gå i hundene,nob
gå i klinsj,nno,1230.0,gå i klinsj,nob
gå i kloster,nno,12274.0,gå i kloster,nob
gå i stå,nno,23734.0,gå i stå,nob
gå i svart,nno,2232.0,gå i svart,nob
gå i taket,nno,3017.0,gå i taket,nob
gå i takt,nno,12788.0,gå i takt,nob
gå i trykken,nno,11287.0,gå i trykken,nob
gå i vatnet,nno,1215.0,gå i vannet,nob
gå i vasken,nno,22096.0,gå i vasken,nob
gå i vranglås,nno,1821.0,gå i vranglås,nob
gå imot straumen,nno,125.0,gå imot strømmen,nob
gå kaldt nedover ryggen,nno,17675.0,gå kaldt nedover ryggen,nob
gå med livet i hendene,nno,361.0,gå med livet i hendene,nob
gå nye vegar,nno,5786.0,gå nye veier,nob
gå opp i liminga,nno,1376.0,gå opp i limingen,nob
gå opp i røyk,nno,8713.0,gå opp i røyk,nob
gå over alle,nno,5783.0,gå over alle,nob
gå over alle grenser,nno,1254.0,gå over alle grenser,nob
gå over bekken etter vatn,nno,2226.0,gå over bekken etter vann,nob
gå over ende,nno,9508.0,gå over ende,nob
gå over stag,nno,1736.0,gå over stag,nob
gå over streken,nno,10596.0,gå over streken,nob
gå på alle fire,nno,1046.0,gå på alle fire,nob
gå på autopilot,nno,936.0,gå på autopilot,nob
gå på friarføter,nno,178.0,gå på frierføtter,nob
gå på fylla,nno,3310.0,gå på fylla,nob
gå på gras,nno,440.0,gå på gress,nob
gå på land,nno,12234.0,gå på land,nob
gå på limpinnen,nno,3685.0,gå på limpinnen,nob
gå på loffen,nno,894.0,gå på loffen,nob
gå på med dødsforakt,nno,456.0,gå på med dødsforakt,nob
gå på med krum hals,nno,3888.0,gå på med krum hals,nob
gå på trynet,nno,6615.0,gå på trynet,nob
gå på tå,nno,4116.0,gå på tå,nob
gå på vatnet,nno,1419.0,gå på vannet,nob
gå rett heim,nno,637.0,gå rett hjem,nob
gå rett i dass,nno,667.0,gå rett i dass,nob
gå rett til himmels,nno,937.0,gå rett til himmels,nob
gå rett vest,nno,2212.0,gå rett vest,nob
gå rettens veg,nno,4972.0,gå rettens vei,nob
gå seg vill,nno,25809.0,gå seg vill,nob
gå sin sigersgang,nno,131.0,gå sin seiersgang,nob
gå sine eigne vegar,nno,1995.0,gå sine egne veier,nob
gå skoa av seg,nno,418.0,gå skoene av seg,nob
gå som fot i hose,nno,890.0,gå som fot i hose,nob
gå sport i,nno,12686.0,gå sport i,nob
gå stille i dørene,nno,16354.0,gå stille i dørene,nob
gå til Bloksberg,nno,241.0,gå til Bloksberg,nob
gå til fots,nno,24549.0,gå til fots,nob
gå til helvete,nno,9026.0,gå til helvete,nob
gå til mauren og bli vis,nno,1589.0,gå til mauren og bli vis,nob
gå til ro,nno,13707.0,gå til ro,nob
gå til spille,nno,25876.0,gå til spille,nob
gå til urnene,nno,7590.0,gå til urnene,nob
gå tilbake på noko,nno,103.0,gå tilbake på noe,nob
gå tomhendt heim,nno,183.0,gå tomhendt hjem,nob
gå troll i ord,nno,5524.0,gå troll i ord,nob
gå under bordet,nno,259.0,gå under bordet,nob
gå under jorda,nno,4647.0,gå under jorda,nob
gå under jorda,nno,4647.0,gå under jorden,nob
gå under åket,nno,582.0,gå under åket,nob
gå ut av sitt gode skinn,nno,3271.0,gå ut av sitt gode skinn,nob
gå ut i hundre,nno,1344.0,gå ut i hundre,nob
gå ut med noko,nno,963.0,gå ut med noe,nob
gå varmt for seg,nno,1961.0,gå varmt for seg,nob
gå vilt for seg,nno,1270.0,gå vilt for seg,nob
"går det, så går det",nno,9968.0,"går det, så går det",nob
ha alle odds mot seg,nno,165.0,ha alle odds mot seg,nob
ha antennene ute,nno,542.0,ha antennene ute,nob
ha begge beina på jorda,nno,684.0,ha begge beina på jorda,nob
ha bein i nasen,nno,146.0,ha bein i nesen,nob
ha blod på hendene,nno,440.0,ha blod på hendene,nob
ha bukta og begge endene,nno,382.0,ha bukten og begge endene,nob
ha det avgjerande ordet,nno,1198.0,ha det avgjørende ord,nob
ha det på g,nno,460.0,ha det på g,nob
ha det trongt,nno,268.0,ha det trangt,nob
ha ein finger med i spelet,nno,397.0,ha en finger med i spillet,nob
ha ei god sak,nno,126.0,ha en god sak,nob
ha ei hand på rattet,nno,716.0,ha en hånd på rattet,nob
ha ei lys framtid,nno,134.0,ha en lys fremtid,nob
ha ein skrue laus,nno,102.0,ha en skrue løs,nob
ha eit forhold,nno,952.0,ha et forhold,nob
ha eit namn,nno,2039.0,ha et navn,nob
ha eit ope sinn,nno,356.0,ha et åpent sinn,nob
ha fast fisk,nno,164.0,ha fast fisk,nob
ha fast grunn under føtene,nno,154.0,ha fast grunn under føttene,nob
ha fingeren på pulsen,nno,181.0,ha fingeren på pulsen,nob
ha fleire bein å stå på,nno,1967.0,ha flere bein å stå på,nob
ha frie hender,nno,4814.0,ha frie hender,nob
ha gode dagar,nno,363.0,ha gode dager,nob
ha gode framtidsutsikter,nno,155.0,ha gode framtidsutsikter,nob
ha gode kort på handa,nno,496.0,ha gode kort på hånda,nob
ha godt ord på seg,nno,356.0,ha godt ord på seg,nob
ha hellet med seg,nno,5397.0,ha hellet med seg,nob
ha hår på brystet,nno,181.0,ha hår på brystet,nob
ha is i magen,nno,17196.0,ha is i magen,nob
ha kniven på strupen,nno,850.0,ha kniven på strupen,nob
ha lett for det,nno,145.0,ha lett for det,nob
ha livets rett,nno,21001.0,ha livets rett,nob
ha lopper i blodet,nno,457.0,ha lopper i blodet,nob
ha magiske evner,nno,400.0,ha magiske evner,nob
ha mange jern i elden,nno,112.0,ha mange jern i ilden,nob
ha mange år på baken,nno,164.0,ha mange år på baken,nob
ha noko for seg,nno,4485.0,ha noe for seg,nob
ha noko i bakhand,nno,283.0,ha noe i bakhånd,nob
ha noko å sjå fram til,nno,430.0,ha noe å se fram til,nob
ha vondt i sinne,nno,167.0,ha ondt i sinne,nob
ha ordet i si makt,nno,155.0,ha ordet i sin makt,nob
ha plettfri vandel,nno,5604.0,ha plettfri vandel,nob
ha ryggen fri,nno,6904.0,ha ryggen fri,nob
ha sett lyset,nno,802.0,ha sett lyset,nob
ha sine gode sider,nno,1193.0,ha sine gode sider,nob
ha sine sider,nno,1375.0,ha sine sider,nob
ha sitt på det tørre,nno,6429.0,ha sitt på det tørre,nob
ha sitt å stri med,nno,215.0,ha sitt å stri med,nob
ha sove i timen,nno,185.0,ha sovet i timen,nob
ha sterk rygg,nno,806.0,ha sterk rygg,nob
ha støv på hjernen,nno,365.0,ha støv på hjernen,nob
ha tida for seg,nno,117.0,ha tiden for seg,nob
ha auga med seg,nno,239.0,ha øynene med seg,nob
hakk i plata,nno,6404.0,hakk i plata,nob
hal i og dra,nno,2801.0,hal i og dra,nob
over hals og hovud,nno,475.0,hals over hode,nob
han bad om det,nno,1672.0,han ba om det,nob
han fekk høyra det,nno,214.0,han fikk høre det,nob
han kan få sagt det,nno,1005.0,han kan få sagt det,nob
handel og vandel,nno,40989.0,handel og vandel,nob
handle på bok,nno,791.0,handle på bok,nob
handle på svartebørs,nno,182.0,handle på svartebørs,nob
hauk over hauk,nno,3757.0,hauk over hauk,nob
havet gir tilbake,nno,172.0,havet gir tilbake,nob
hekta seg på,nno,859.0,hekte seg på,nob
heile dagen til ende,nno,270.0,hele dagen til ende,nob
heilt i hundre,nno,820.0,helt i hundre,nob
hengja bjølla på katten,nno,127.0,henge bjella på katten,nob
henga med hovudet,nno,188.0,henge med hodet,nob
her er det ingen slinger i valsen,nno,145.0,her er det ingen slinger i valsen,nob
her er det ugler i mosen,nno,740.0,her er det ugler i mosen,nob
her er gode råd dyre,nno,612.0,her er gode råd dyre,nob
her hjelper ingen kjære mor,nno,233.0,her hjelper ingen kjære mor,nob
her i steinrøysa,nno,1046.0,her i steinrøysa,nob
her og der,nno,534565.0,her og der,nob
herlegdom og glede,nno,634.0,herlighet og glede,nob
hemnen er søt,nno,924.0,hevnen er søt,nob
himmel og hav,nno,50502.0,himmel og hav,nob
historia gjentek seg,nno,778.0,historien gjentar seg,nob
hit og dit,nno,162146.0,hit og dit,nob
hjarte av gull,nno,627.0,hjerte av gull,nob
hjarte i brann,nno,316.0,hjerte i brann,nob
hald deg fast,nno,1212.0,hold deg fast,nob
halda hovudet kaldt,nno,1111.0,holde hodet kaldt,nob
halda i hevd,nno,1051.0,holde i hevd,nob
halda i sjakk,nno,153.0,holde i sjakk,nob
halda på sitt,nno,900.0,holde på sitt,nob
halda på å,nno,1196.0,holde på å,nob
halda seg frampå,nno,182.0,holde seg frempå,nob
halda seg i bakgrunnen,nno,207.0,holde seg i bakgrunnen,nob
halda seg i skinnet,nno,387.0,holde seg i skinnet,nob
halda seg på matta,nno,147.0,holde seg på matta,nob
halda tann for tunge,nno,113.0,holde tann for tunge,nob
halda tunga rett i munnen,nno,320.0,holde tungen rett i munnen,nob
halda ope hus,nno,138.0,holde åpent hus,nob
hoppe av i svingen,nno,609.0,hoppe av i svingen,nob
hoppe av karusellen,nno,1839.0,hoppe av karusellen,nob
hoppe etter Wirkola,nno,8549.0,hoppe etter Wirkola,nob
horn i sida,nno,1319.0,horn i siden,nob
kva er det som står på,nno,1007.0,hva er det som står på,nob
kva skal det vera godt for,nno,667.0,hva skal det være godt for,nob
kvar evige dag,nno,264.0,hver evige dag,nob
kvar sin smak,nno,870.0,hver sin smak,nob
kvar smitt og smule,nno,345.0,hver smitt og smule,nob
verken det eine eller det andre,nno,778.0,hverken det ene eller det andre,nob
verken fugl eller fisk,nno,4747.0,hverken fugl eller fisk,nob
verken før eller sidan,nno,485.0,hverken før eller siden,nob
verken på land eller sjø,nno,458.0,hverken på land eller sjø,nob
kvil i fred,nno,13180.0,hvil i fred,nob
kviskra og tiska,nno,168.0,hviske og tiske,nob
kvit som snø,nno,2787.0,hvit som snø,nob
kvite flekker på kartet,nno,167.0,hvite flekker på kartet,nob
der det er vilje er det veg,nno,469.0,hvor det er vilje er det vei,nob
kor lenge var Adam i Paradis ?,nno,789.0,hvor lenge var Adam i Paradis ?,nob
håp i hengande snøre,nno,472.0,håp i hengende snøre,nob
håpet er lysegrønt,nno,2898.0,håpet er lysegrønt,nob
hæla i taket,nno,33742.0,hæla i taket,nob
høgt heng dei og sure er dei,nno,346.0,høyt henger de og sure er de,nob
høgt og lågt,nno,11408.0,høyt og lavt,nob
i Adams drakt,nno,4565.0,i Adams drakt,nob
i all beskjedenheit,nno,338.0,i all beskjedenhet,nob
i all si prakt,nno,1775.0,i all sin prakt,nob
i bokstaveleg meining,nno,708.0,i bokstavelig forstand,nob
i dagleg tale,nno,5852.0,i daglig tale,nob
i dei rette hendene,nno,148.0,i de rette hender,nob
i den ellevte timen,nno,1604.0,i den ellevte time,nob
i den sjuande himmelen,nno,206.0,i den syvende himmel,nob
i det aller heilagste,nno,294.0,i det aller helligste,nob
i det blå,nno,229024.0,i det blå,nob
i det skjulte,nno,106603.0,i det skjulte,nob
i det små,nno,144270.0,i det små,nob
i det stille,nno,179233.0,i det stille,nob
i det uendelege,nno,9864.0,i det uendelige,nob
i dobbelt forstand,nno,72229.0,i dobbelt forstand,nob
i eigne auge,nno,1193.0,i egne øyne,nob
i ellevte time,nno,29191.0,i ellevte time,nob
i ei snarvending,nno,988.0,i en snarvending,nob
i eitt jafs,nno,577.0,i ett jafs,nob
i flokk og følgje,nno,1699.0,i flokk og følge,nob
i full mundur,nno,14177.0,i full mundur,nob
i første hand,nno,6435.0,i første hånd,nob
i første instans,nno,22832.0,i første instans,nob
i første omgang,nno,1615779.0,i første omgang,nob
i første rekkje,nno,53364.0,i første rekke,nob
i gamle dagar,nno,93481.0,i gamle dager,nob
i god tid,nno,954467.0,i god tid,nob
i grevens tid,nno,28318.0,i grevens tid,nob
i herlegdom og glede,nno,248.0,i herlighet og glede,nob
i hui og hast,nno,58618.0,i hui og hast,nob
i # hurten og # sturten,nno,2332.0,i hurten og sturten,nob
i hytt og pine,nno,20532.0,i hytt og pine,nob
i hytt og ver,nno,4381.0,i hytt og vær,nob
når det står på som verst,nno,3464.0,i kampens hete,nob
i lange banar,nno,1149.0,i lange baner,nob
i langsam kino,nno,170.0,i langsom kino,nob
i ly av,nno,168823.0,i ly av,nob
i lause lufta,nno,12516.0,i løse luften,nob
i boka mi,nno,5254.0,i min bok,nob
i min grøne ungdom,nno,173.0,i min grønne ungdom,nob
i mi tid,nno,14912.0,i min tid,nob
i moden alder,nno,32050.0,i moden alder,nob
i motsetning til,nno,1119902.0,i motsetning til,nob
i ny og ne,nno,120859.0,i ny og ne,nob
i og for seg,nno,466217.0,i og for seg,nob
i overskodeleg framtid,nno,2033.0,i overskuelig fremtid,nob
i ro og mak,nno,129570.0,i ro og mak,nob
i sakte kino,nno,4939.0,i sakte kino,nob
i samanlikning med,nno,8582.0,i sammenligning med,nob
i seng med fienden,nno,8113.0,i seng med fienden,nob
i sin beste alder,nno,66186.0,i sin beste alder,nob
i sin tur,nno,258506.0,i sin tur,nob
i sinn og skinn,nno,16919.0,i sinn og skinn,nob
i siste instans,nno,143095.0,i siste instans,nob
i siste sekund,nno,48113.0,i siste sekund,nob
i sju lange og sju breie,nno,1756.0,i sju lange og sju brede,nob
i skrift og tale,nno,55579.0,i skrift og tale,nob
i smult vatn,nno,188.0,i smult vann,nob
i storm og stille,nno,20594.0,i storm og stille,nob
i sus og dus,nno,28672.0,i sus og dus,nob
med tid og stunder,nno,78633.0,i tidens fylde,nob
i tolvte time,nno,34145.0,i tolvte time,nob
i tottane på kvarandre,nno,1878.0,i tottene på hverandre,nob
i tukt og ære,nno,1591.0,i tukt og ære,nob
i ungdommens vår,nno,3881.0,i ungdommens vår,nob
i ånd og sanning,nno,2502.0,i ånd og sannhet,nob
i andelaus spenning,nno,127.0,i åndeløs spenning,nob
igjen og igjen,nno,189546.0,igjen og igjen,nob
ikkje av denne verda,nno,1112.0,ikke av denne verden,nob
ikkje bli til noko,nno,131.0,ikke bli til noe,nob
ikkje ein døyt,nno,334.0,ikke en døyt,nob
ikkje ei sky på himmelen,nno,363.0,ikke en sky på himmelen,nob
ikkje ein tøddel,nno,397.0,ikke en tøddel,nob
ikkje eit hår betre,nno,394.0,ikke et hår bedre,nob
ikkje eit sekund for tidleg,nno,108.0,ikke et sekund for tidlig,nob
ikkje fatta og begripa,nno,145.0,ikke fatte og begripe,nob
ikkje få fram eit ord,nno,182.0,ikke få frem et ord,nob
ikkje gjera noko frå eller til,nno,197.0,ikke gjøre noe fra eller til,nob
ikkje gå av vegen for,nno,250.0,ikke gå av veien for,nob
ikkje ha noko for seg,nno,136.0,ikke ha noe for seg,nob
ikkje halda mål,nno,148.0,ikke holde mål,nob
ikkje kom her,nno,420.0,ikke kom her,nob
ikkje koste all verda,nno,178.0,ikke koste all verden,nob
ikkje kunne samanliknast med,nno,191.0,ikke kunne sammenlignes med,nob
ikkje kunne seia nei,nno,369.0,ikke kunne si nei,nob
ikkje liggja på latsida,nno,206.0,ikke ligge på latsiden,nob
ikkje med lett hjarte,nno,1049.0,ikke med lett hjerte,nob
ikkje mitt bord,nno,581.0,ikke mitt bord,nob
ikkje noko knussel,nno,140.0,ikke noe knussel,nob
ikkje på vilkår,nno,336.0,ikke på vilkår,nob
ikkje sitja med hendene i fanget,nno,323.0,ikke sitte med hendene i fanget,nob
ikkje spela noka rolle,nno,176.0,ikke spille noen rolle,nob
ikkje stikka seg fram,nno,123.0,ikke stikke seg frem,nob
ikkje ta sorgene på forskot,nno,211.0,ikke ta sorgene på forskudd,nob
ikkje tale om,nno,24534.0,ikke tale om,nob
ikkje til dags dato,nno,227.0,ikke til dags dato,nob
eld og svovel,nno,692.0,ild og svovel,nob
ingen kan tjene to herrer,nob,6054.0,ingen kan tene to herrar,nno
ingen kan tena to herrar,nno,500.0,ingen kan tjene to herrer,nob
ingen kjenner dagen før solen går ned,nob,3800.0,ingen kjenner dagen før sola går ned,nno
ingen kjære mor,nno,20019.0,ingen kjære mor,nob
ingen røyk uten ild,nob,5520.0,ingen røyk utan eld,nno
ingen slinger i valsen,nno,5060.0,ingen slinger i valsen,nob
ingen tre veks inn i himmelen,nno,131.0,ingen trær vokser inn i himmelen,nob
ingen veit kvar haren hoppar,nno,218.0,ingen vet hvor haren hopper,nob
ingenting nytt under sola,nno,161.0,intet nytt under solen,nob
ja og amen,nno,19909.0,ja og amen,nob
"ja, sei det",nno,2387.0,"ja, si det",nob
eg for min del,nno,18085.0,jeg for min del,nob
eg har ikkje ord,nno,1023.0,jeg har ikke ord,nob
eg har ikkje peiling,nno,1277.0,jeg har ikke peiling,nob
eg har tenkt tanken,nno,205.0,jeg har tenkt tanken,nob
eg kjende det på meg,nno,381.0,jeg kjente det på meg,nob
eg ler meg i hel,nno,101.0,jeg ler meg i hjel,nob
eg skal vedda på at,nno,118.0,jeg skal vedde på at,nob
eg trudde ikkje mine eigne auge,nno,223.0,jeg trodde ikke mine egne øyne,nob
jekka seg ned,nno,105.0,jekke seg ned,nob
jamt og trutt,nno,21211.0,jevnt og trutt,nob
"jo før, jo heller",nno,70835.0,"jo før, jo heller",nob
"jo, så menn",nno,3765.0,"jo, så menn",nob
jubelen står i taket,nno,2321.0,jubelen står i taket,nob
julekvelden på kjerringa,nno,24502.0,julekvelden på kjerringa,nob
juvelen i krona,nno,672.0,juvelen i krona,nob
kaste den første steinen,nno,2671.0,kaste den første sten,nob
kaste inn handkleet,nno,9286.0,kaste inn håndkleet,nob
kaste med nakken,nno,338.0,kaste med nakken,nob
kaste over bord,nno,3027.0,kaste over bord,nob
kaste perler for svin,nno,3696.0,kaste perler for svin,nob
