idiom,language,frequency
en likemann,nob,5214
en linselus,nob,288
en lise for kropp og sjel,nob,141
en listig rev,nob,470
en liten tass,nob,8372
en lokal størrelse,nob,1939
en lokkedue,nob,1453
en lokkefugl,nob,671
en lurendreier,nob,2840
en lus,nob,11358
en lusekjører,nob,524
en lykkeridder,nob,863
en lykkestjerne,nob,1368
en lys idé,nob,14370
en lystig fyr,nob,3175
en lystløgner,nob,1877
en lærepenge,nob,64167
en løgnhals,nob,4462
en løpegutt,nob,2240
en løs ende,nob,373
en magiker,nob,5748
en magisk grense,nob,2133
en majestetsforbrytelse,nob,835
en maktdemonstrasjon,nob,9561
en mann av den gamle skole,nob,1307
en mann av folket,nob,5579
en mann i sine beste år,nob,3230
en mannsgris,nob,795
en mare,nob,52086
en marionett,nob,6652
en masekopp,nob,710
en matrone,nob,1886
en megge,nob,390
en melkeku,nob,10059
en mellommann,nob,14201
en meningsfelle,nob,2317
en menneskealder,nob,172907
en mentor,nob,9300
en merkedag,nob,84505
en merr,nob,1950
en mester,nob,167055
en millimeter,nob,36435
en mine,nob,165365
en moralens vokter,nob,867
en moralpreken,nob,2401
en muldvarp,nob,10386
en myk mann,nob,3096
en myrsnipe,nob,954
en målkonge,nob,118
en målmann,nob,4794
en møkkaspreder,nob,167
en mørkets engel,nob,210
en natterangler,nob,604
en natteravn,nob,2272
en naturbegavelse,nob,3436
en nedsabling,nob,898
en nedtur,nob,45009
en nerd,nob,8846
en nidvise,nob,1772
en novise,nob,4239
en ny verdensborger,nob,5732
en nyttig idiot,nob,1653
en nøkkelperson,nob,17233
en nøtt,nob,24786
en oddsbombe,nob,2215
en ond sirkel,nob,58645
en oppreisning,nob,13921
en oppstiver,nob,4898
en oppvigler,nob,2426
en ordensmann,nob,9860
en ordgyter,nob,184
en ordkløver,nob,147
en original,nob,135821
en overført betydning,nob,1102
en overmann,nob,693
en pakkeløsning,nob,19367
en pakketur,nob,4903
en palassrevolusjon,nob,2205
en papegøye,nob,19140
en papirbestemmelse,nob,9250
en papirtiger,nob,3666
en paragrafrytter,nob,395
en paraply,nob,62161
en paraplyorganisasjon,nob,18861
en parasitt,nob,12183
en parentes,nob,25652
en parole,nob,17346
en partifelle,nob,8948
en pedant,nob,4160
en pekepinn,nob,143720
en penneknekt,nob,336
en peppermø,nob,1159
en perle,nob,146498
en petimeter,nob,414
en pikelill,nob,1907
en pingle,nob,1694
en pipekonsert,nob,3153
en plageånd,nob,3888
en plass i solen,nob,28475
en platthet,nob,377
en pokersjanse,nob,3642
en polsk riksdag,nob,2231
en praktkar,nob,2438
en pralhans,nob,353
en programhelt,nob,115
en propp,nob,12385
en pryd for øyet,nob,2451
en prøveballong,nob,6651
en prøvekanin,nob,1086
en prøveklut,nob,4083
en pusling,nob,3080
en pust i bakken,nob,61070
en pyntedukke,nob,616
en på trynet,nob,13078
en påpakning,nob,1052
en pæl i kjødet,nob,622
en pølse i slaktetiden,nob,2984
en rambukk,nob,5457
en rangstige,nob,547
en rebell,nob,4181
en rebus,nob,7873
en reddhare,nob,4332
en redningsplanke,nob,9159
en regjerende mester,nob,133
en renvasking,nob,304
en resept,nob,27553
en retor,nob,304
en rev,nob,91091
en rik onkel i Amerika,nob,883
en rosemaling,nob,227
en rosenrød fremtid,nob,1368
en rugekasse,nob,2233
en rungende taushet,nob,336
en rustholk,nob,1006
en rågjenger,nob,163
en rødhud,nob,1309
en rønner,nob,321
en røverunge,nob,318
en salderingspost,nob,21632
en salig blanding,nob,17460
en salomonisk dom,nob,2107
en salongradikaler,nob,106
en saltstøtte,nob,7549
en samfunnsstøtte,nob,1432
en sandpåstrøer,nob,605
en sann fryd,nob,11750
en saueflokk,nob,18537
en seierherre,nob,7127
en selvmotsigelse,nob,24574
en sentens,nob,2447
en sexbombe,nob,912
en sfinks,nob,2355
en sinnrik plan,nob,328
en sirkushest,nob,1654
en siste hilsen,nob,89316
en sjargong,nob,1979
en sjarmoffensiv,nob,5065
en sjelden gang,nob,161644
en sjelden gjest,nob,10953
en sjeldenhet,nob,75959
en sjelevandring,nob,380
en skalk,nob,5951
en skampæl,nob,242
en skapdranker,nob,138
en skillevei,nob,14684
en skipperskrøne,nob,1301
en skittentøyvask,nob,1143
en skjebne verre enn døden,nob,6366
en skjelm,nob,8519
en skjemtegauk,nob,155
en skjennepreken,nob,6573
en skjønnhetsplett,nob,1457
en skjørtejeger,nob,3585
en skoggerlatter,nob,3848
en skrell,nob,3402
en skreppe,nob,2058
en skrikhals,nob,375
en skrotnisse,nob,300
en skrulle,nob,523
en skulder å gråte på,nob,2347
en skurkestrek,nob,1220
en skvaldrebøtte,nob,127
en skyggetilværelse,nob,4351
en skyteskive,nob,5644
en skytsengel,nob,3279
en skyttergrav,nob,7942
en skyttergravskrig,nob,1617
en skårunge,nob,1252
en skøyer,nob,10507
en skøyerstrek,nob,1944
en sladrekjerring,nob,1017
en slagmark,nob,35413
en slagplan,nob,14493
en slengbemerkning,nob,2458
en slikkmunn,nob,615
en slu rev,nob,2333
en slubbert,nob,3754
en slugger,nob,3025
en sluttstrek,nob,8143
en smal sak,nob,33388
en smed,nob,46001
en smittende latter,nob,4455
en småkonge,nob,2996
en smøring,nob,1230
en smørtenor,nob,192
en snelle,nob,5105
en snobb,nob,8494
en snok,nob,1150
en snushane,nob,1423
en snyltegjest,nob,769
en snøball,nob,14588
en snøballeffekt,nob,1051
en snørrvalp,nob,184
en sofabonde,nob,229
en sofagris,nob,650
en soper,nob,1246
en sorgens dag,nob,8837
en soss,nob,464
en sparkepike,nob,611
en sparringspartner,nob,1450
en spiker i kista,nob,1115
en spire,nob,20854
en spissborger,nob,549
en spisskompetanse,nob,2318
en spissrotgang,nob,1633
en sprellemann,nob,2989
en språkforsker,nob,1334
en spyttslikker,nob,862
en spøkefugl,nob,10974
en staffasje,nob,539
en stamfar,nob,1463
en stamgjest,nob,2584
en statist,nob,4959
en stayer,nob,3127
en stemningsbølge,nob,5861
en stille overenskomst,nob,782
en stivnakke,nob,785
en stor kanon,nob,1574
en stordåd,nob,2113
en storm i et vannglass,nob,3084
en strandløve,nob,142
en strateg,nob,4353
en strategi,nob,128274
en streber,nob,4545
en strek,nob,217974
en stri tørn,nob,42091
en strikkball,nob,2057
en stuegris,nob,1193
en stymper,nob,4012
en styrketår,nob,1299
en ståpikk,nob,473
en støkk,nob,51046
en suksessformel,nob,956
en sunnhetsapostel,nob,201
en suppedas,nob,375
en surpomp,nob,1462
en svale gjør ingen sommer,nob,6186
en svanesang,nob,1715
en svart,nob,320070
en svart humor,nob,330
en sverm,nob,35254
en svermer,nob,3342
en svingdør,nob,4235
en svint,nob,715
en svovelpredikant,nob,906
en syklubb,nob,4946
en sylfide,nob,1573
en syndebukk,nob,22180
en syndens pøl,nob,798
en synser,nob,454
en synsvinkel,nob,4873
en såpeopera,nob,8807
en særling,nob,10841
en søtmons,nob,265
en søtsuppe,nob,334
en tabbe,nob,85939
en taburett,nob,11069
en takknemlig oppgave,nob,9973
en taktikker,nob,321
en talestrøm,nob,668
en tankeflukt,nob,884
en tankevekker,nob,52042
en tante,nob,59622
en titan,nob,3183
en tjuagutt,nob,897
en tornerosesøvn,nob,2164
en torpedo,nob,38978
en tramp,nob,2046
en trang fødsel,nob,15931
en tredemølle,nob,6331
en trekant,nob,44134
en tributt,nob,6944
en tro tjener,nob,9910
en trojansk hest,nob,3443
en trope,nob,841
en tropenatt,nob,1196
en trump,nob,2137
en trøstepremie,nob,3464
en tumleplass,nob,7991
en tungetaler,nob,334
en tur i det grønne,nob,1327
en turistmagnet,nob,5154
en tusenkunstner,nob,9077
en tusseladd,nob,1434
en tynn forklaring,nob,320
en tåkeheim,nob,612
en tåreperse,nob,1079
en tøffelhelt,nob,2777
en tøs,nob,5420
en ugagnskråke,nob,609
en ukronet dronning,nob,130
en ulmende uro,nob,399
en ulv i fåreklær,nob,4520
en ulykke kommer sjelden alene,nob,7459
en underlig fisk,nob,1627
en underlig skrue,nob,7658
en undermåler,nob,1606
en underverden,nob,2859
en ungkarskvinne,nob,209
en uskikk,nob,10536
en uslepen diamant,nob,3439
en utflukt,nob,54015
en utro tjener,nob,5849
en val,nob,7891
en valfart,nob,3542
en vampyr,nob,37132
en vandrehistorie,nob,3392
en vanlig foreteelse,nob,7081
en varm mottagelse,nob,4526
en varm potet,nob,11811
en varselklokke,nob,2093
en vaskeseddel,nob,717
en velling,nob,3471
en vellysting,nob,725
en verdensborger,nob,4493
en verdensmester,nob,18467
en verpesjuk høne,nob,295
en versemaker,nob,266
en viktigper,nob,1201
en villbasse,nob,1371
en villkatt,nob,9648
en viss mann,nob,20036
en vitsemaker,nob,380
en vriompeis,nob,1567
en våghals,nob,1764
en våt drøm,nob,3714
en værhane,nob,4720
en xantippe,nob,681
en ågerkarl,nob,947
en ånd,nob,53130
en årgangsvin,nob,732
en æresrunde,nob,6232
en ødeland,nob,3338
en øm,nob,33480
en ørnenese,nob,269
en ønskedrøm,nob,22824
en ønskekvist,nob,2815
en øyentjener,nob,430
ende med knall og fall,nob,1490
ende sine dager,nob,11229
enhver er sin egen lykkes smed,nob,5257
enhver fugl synger med sitt nebb,nob,520
er det fest så er det fest,nob,481
er det ikke det ene så er det det andre,nob,1778
er du fra vettet,nob,2716
er du gal,nob,42573
er du vill,nob,1044
et A,nob,396221
et adelsmerke,nob,2849
et akterspeil,nob,255
et alvorsord,nob,27690
et arbeidsjern,nob,20059
et avsluttet kapittel,nob,9095
et bakteppe,nob,17567
et ballespark,nob,504
et barometer,nob,19684
et bevinget ord,nob,2095
et bilde sier mer enn tusen ord,nob,1794
et billig poeng,nob,1661
et blekansikt,nob,618
et blikkfang,nob,12998
et blindspor,nob,18556
et blodsbånd,nob,248
et bondefangeri,nob,292
et brennende spørsmål,nob,5966
et bruderov,nob,681
et bøllefrø,nob,154
et columbi egg,nob,8907
et comeback,nob,29841
et delikat spørsmål,nob,1497
et djevelens verk,nob,723
et dobbeltspill,nob,6546
et dollarglis,nob,1641
et dragsug,nob,3247
et drikk og vær glad,nob,1957
et drøyt stykke,nob,8148
et dydsmønster,nob,2796
et dødfødt barn,nob,5049
et dødskyss,nob,1003
et ekte mannfolk,nob,8860
et elfenbeinstårn,nob,126
et elskovsrede,nob,502
et esel,nob,46505
et ess,nob,26095
et falkeblikk,nob,664
et fallrep,nob,138
et fantasibilde,nob,1713
et farvann,nob,6338
et fast uttrykk,nob,2743
et feilspor,nob,3875
et fengsel,nob,119114
et filigransarbeid,nob,350
et flammende blikk,nob,543
et fnugg,nob,26696
et fornuftsekteskap,nob,4240
et forspill,nob,12723
et forsvinningsnummer,nob,3113
et fossil,nob,3917
et frimerke,nob,43347
et fromt ønske,nob,10561
et froskeperspektiv,nob,204
et froskeskudd,nob,511
et fugleperspektiv,nob,3991
et fyndord,nob,1986
et fyrtårn,nob,26124
et første skritt,nob,51143
et gjenferd,nob,22025
et glansbilde,nob,11259
et glasshus,nob,5369
et glasstak,nob,3521
et glemselens slør,nob,6523
et grepa kvinnfolk,nob,1802
et gudsforlatt sted,nob,2622
et gudsord fra landet,nob,1976
et gullkantet papir,nob,2597
et halmstrå,nob,13660
et hardnakket rykte,nob,637
et harehjerte,nob,450
et hasardspill,nob,1913
et hekseskudd,nob,693
et helvete på jord,nob,3494
et helvetes liv,nob,923
et hemmelighetskremmeri,nob,721
et herremåltid,nob,5741
et herrens vær,nob,2356
et hespetre,nob,2200
et hestehode,nob,33508
et himmelsk måltid,nob,291
et hjertebarn,nob,5442
et hjertesukk,nob,34285
et humlebol,nob,799
et hundeliv,nob,36782
et hundevær,nob,588
et hverdagsmenneske,nob,2276
et hylekor,nob,3127
et hår i suppa,nob,3088
et justismord,nob,12152
et kaffeslabberas,nob,1073
et kall,nob,78249
et kallenavn,nob,7468
et kappløp med tiden,nob,10283
et kinkig spørsmål,nob,2386
et kjærlighetsbarn,nob,1885
et klengenavn,nob,4221
et klippekort,nob,4338
et klokt hode,nob,3388
et knep,nob,18832
et knipetak,nob,39113
et knot,nob,170
et kors,nob,116425
et kort,nob,841337
et kraftuttrykk,nob,1810
et krakk,nob,8666
et krigshyl,nob,977
et kråkemål,nob,225
et kråkeslott,nob,1573
et kråketing,nob,273
et kupp,nob,154032
et kvantesprang,nob,7227
et langt lerret å bleke,nob,18937
et lappverk,nob,5485
et lavmål,nob,48818
et ledende spørsmål,nob,1548
et levende lik,nob,2575
et levende lys,nob,3344
et lotteri,nob,56024
et lukket kapitel,nob,255
et lurveleven,nob,8552
et lyn,nob,113397
et lyspunkt,nob,104794
et lystig lag,nob,6429
et låneord,nob,771
et lønnlig håp,nob,15598
et malapropos,nob,489
et malerskrin,nob,1300
et mareritt,nob,190327
et matfat,nob,1945
et mehe,nob,1297
et mellomspill,nob,13147
et mellomværende,nob,2921
et melodrama,nob,3663
et men,nob,151809
et miksmaks,nob,173
et monstrum,nob,12101
et motto,nob,28383
et muldvarparbeid,nob,169
et munnhuggeri,nob,2371
et museskritt,nob,439
et nappetak,nob,5082
et natursvin,nob,451
et nummer,nob,196119
et nurk,nob,196
et nådestøt,nob,1439
et nåløye,nob,12017
et nødrop,nob,31635
et nødskrik,nob,32072
et offer,nob,209303
et oppgjør på kammerset,nob,1849
et oppnavn,nob,2001
et oppstøt,nob,458
et orakel,nob,6586
et ord er et ord,nob,6690
et ordgyteri,nob,151
et ordtak,nob,43197
et overflødighetshorn,nob,6685
et pakk,nob,622
et paradoks,nob,146511
et pengesluk,nob,9239
et pokerfjes,nob,657
et pust fra den store verden,nob,1329
et pust i sivet,nob,3658
et rabalder,nob,7259
et radarpar,nob,4269
et ramaskrik,nob,23831
et rottereir,nob,2376
et rulleblad,nob,4946
et råskinn,nob,7623
et rødt kort,nob,12483
et røverkjøp,nob,15843
et selvbedrag,nob,7696
et selvmål,nob,36464
et sidespor,nob,35317
et signalbygg,nob,7927
et sikkert kort,nob,4783
et sisyfosarbeid,nob,1160
et skipperskjønn,nob,566
et skjevt ord,nob,1117
et skjevt smil,nob,29265
et skoleeksempel,nob,37428
et skrekkens eksempel,nob,11008
et skrekkvelde,nob,1015
et skritt i riktig retning,nob,57161
et skudd for baugen,nob,20655
et skudd i blinde,nob,4074
et skuldertrekk,nob,29384
et slag i lufta,nob,4705
et slag under beltestedet,nob,8144
et slagord,nob,56676
et slangemenneske,nob,1571
et sleivspark,nob,4064
et slengkyss,nob,8896
et slumpetreff,nob,8514
et smellkyss,nob,4105
et smutthull,nob,16224
et smørøye,nob,1569
et snakketøy,nob,425
et snyltedyr,nob,1078
et solbad,nob,1992
et solskinnsbarn,nob,2423
et spark,nob,101944
et spill av tid og krefter,nob,271
et spisst svar,nob,119
et sprang ut i det uvisse,nob,199
et spøkelsesslott,nob,900
et stamtre,nob,1582
et statusjag,nob,150
et statussymbol,nob,14820
et steg i riktig retning,nob,17944
et stinkdyr,nob,2283
et stivt blikk,nob,1802
et strå hvassere,nob,8042
et strømpeskudd,nob,210
et stående uttrykk,nob,2426
et supperåd,nob,4224
et svaiende siv,nob,243
et svakt punkt,nob,21089
et svarteperspill,nob,1083
et svartsyn,nob,525
et sørgelig kapitel,nob,7734
et takknemlig offer,nob,623
et takras,nob,5312
et tankegods,nob,859
et tankekorn,nob,258
et tigersprang,nob,7870
et tilfeldighetenes spill,nob,788
et tilnavn,nob,9721
et trekantforhold,nob,3704
et troll,nob,31696
et trumfkort,nob,7754
et trylleslag,nob,37517
et trynetillegg,nob,120
et trøstemål,nob,9072
et tveegget sverd,nob,26459
et tvisyn,nob,1052
et uekte barn,nob,6971
et umenneske,nob,3717
et unikum,nob,24557
et urent farvann,nob,396
et urinstinkt,nob,964
et utdrikkingslag,nob,1835
et utnavn,nob,848
et uttrykk,nob,498138
et vandrende leksikon,nob,1059
et vanedyr,nob,2665
et vanemenneske,nob,1472
et vepsebol,nob,13258
et viktig skritt på vegen,nob,895
et villnis,nob,7237
et vink,nob,92020
et vrak,nob,39240
et vrengebilde,nob,8552
et vulgært språk,nob,247
et åndsverk,nob,4857
et åsyn,nob,776
et æresord,nob,1173
et ømtålig emne,nob,2709
et ørneblikk,nob,361
et øye,nob,155509
et øyekast,nob,7965
et øyenvitne,nob,25981
ete om seg,nob,444
ete seg innpå,nob,352
ete sitt brød i sitt ansikts sved,nob,423
ett skritt fram og to tilbake,nob,944
etter alle solemerker å dømme,nob,10590
etter alt å dømme,nob,477685
etter beste evne,nob,186804
etter fattig evne,nob,16901
etter hånden,nob,29380
etter læreboka,nob,4839
etter moden overveielse,nob,7811
etter oss kommer syndfloden,nob,2710
etter sitt eget hode,nob,9975
faen heller,nob,14953
faen i helvete,nob,9847
falle av stolen,nob,2755
falle blant røvere,nob,159
falle for fote,nob,174
falle heldig ut,nob,9227
falle hodestups,nob,699
falle i gråt,nob,256
falle i søvn,nob,19390
falle i tanker,nob,2041
falle igjennom,nob,6491
falle mellom to stoler,nob,5886
falle nesegrus,nob,476
falle noen til byrde,nob,374
falle om,nob,25113
falle pladask,nob,4407
falle på steingrunn,nob,1327
falle til jorden,nob,6865
falle tilbake til gamle synder,nob,1465
falle ut av rollen,nob,1159
falsk alarm,nob,51897
famle etter noe,nob,272
famle seg frem,nob,3143
fanden må vite,nob,222
fanden og hans oldemor,nob,2718
fare ille,nob,4533
fare sammen,nob,14555
fast eiendom,nob,348270
fatte seg,nob,11376
favne vidt,nob,3229
feie all tvil til side,nob,893
feiende flott,nob,35335
felle krokodilletårer,nob,328
feste seg ved noe,nob,801
finne formen,nob,28541
finne hverandre,nob,32007
finne lykken,nob,14550
finne opp hjulet på nytt,nob,2162
finne seg selv,nob,19613
finne seg til rette,nob,89635
finne sin likemann,nob,103
fire på kravene,nob,5462
fiske i rørt vann,nob,8337
fit for fight,nob,11573
flagge på halv stang,nob,2094
flakke omkring,nob,5676
flaske opp,nob,3402
flat som en pannekake,nob,4371
flekke tenner,nob,2750
flippe ut,nob,2898
flire bredt,nob,319
fly etter jentene,nob,477
fly i flint,nob,4246
fly opp,nob,17106
fly ute om kveldene,nob,186
flytte grenser,nob,7696
flytte sammen,nob,35431
folk flest,nob,1093050
for alle tilfellers skyld,nob,15129
for alt i verden,nob,56069
for døve ører,nob,31174
for egen maskin,nob,48214
for en stakket stund,nob,34719
for et vær,nob,6355
for full rulle,nob,2010
for godt til å være sant,nob,32988
for helvete,nob,24985
for knapper og glansbilder,nob,3398
for lukkede dører,nob,87998
for ordens skyld,nob,167804
for skams skyld,nob,15757
for syns skyld,nob,24595
for tusende gang,nob,5894
for verdens øyne,nob,1310
for å gjøre en lang historie kort,nob,13961
forløfte seg,nob,2077
fornemme historiens sus,nob,177
fornøyelsen er på min side,nob,372
forsikre på ære og samvittighet,nob,151
forslitte fraser,nob,1233
forsnakke seg,nob,7500
forstrekke seg,nob,1440
forstå det den som kan,nob,39776
forstå en halvkvedet vise,nob,121
forsvinne fra jordens overflate,nob,1972
forsvinne i løse luften,nob,1748
forsvinne som en ånd i en fillehaug,nob,152
forsømme seg,nob,1005
fort vekk,nob,51033
forut for sin tid,nob,51417
fra a til å,nob,107103
fra bamsben av,nob,2102
fra den ene dagen til den andre,nob,11270
fra det ene til det andre,nob,30660
fra dør til dør,nob,65230
fra første stund,nob,349980
fra morgen til kveld,nob,160991
fra sans og samling,nob,31346
fra topp til tå,nob,83325
fra øverste hylle,nob,21981
fram og tilbake er like langt,nob,2406
fred og ingen fare,nob,39141
frekk som flatlusa,nob,154
frende er frende verst,nob,4622
fri og bevare meg vel,nob,1821
fri som fuglen,nob,16694
frie tøyler,nob,53571
frisk som en fisk,nob,21187
friskt blod,nob,27854
friskt mot,nob,57226
fråde av raseri,nob,267
fugl Føniks,nob,11085
full pakke,nob,54437
full pott,nob,120108
fullt hus og stormende jubel,nob,9419
fullt og helt,nob,201325
fy faen i helvete,nob,281
fylle ut bildet,nob,1869
fyr i teltet,nob,920
fyre av en bredside,nob,441
fyre av kanonen,nob,339
fyre opp noen,nob,131
få balanse i regnskapet,nob,5084
få begeret til å flyte over,nob,986
få den siste olje,nob,485
få det hett,nob,1848
få en flying start,nob,1558
få en fyrstelig mottagelse,nob,127
få en oppblomstring,nob,1516
få en overhaling,nob,1266
få en overhøvling,nob,240
få en plass i solen,nob,1442
få en skjennepreken,nob,344
få en varm mottagelse,nob,465
få en våt grav,nob,116
få et anfall,nob,3643
få et blått øye,nob,204
få et grunnskudd,nob,1077
få et hint,nob,1418
få fingeren,nob,2276
få fingrene i noe,nob,103
få foten innenfor,nob,1458
få fritt løp,nob,6841
få full pakke,nob,486
få fyken,nob,786
få gjennomgå,nob,11060
få greie på noe,nob,2027
få grisebank,nob,213
få gult kort,nob,1603
få has på noen,nob,672
få hetta,nob,1520
få hodet over vannet,nob,1801
få huden full,nob,436
få jernteppe,nob,1051
få kloa i noe,nob,119
få kniven,nob,3051
få kniven på strupen,nob,874
få kurven,nob,1175
få lang nese,nob,717
få latterkrampe,nob,930
få lønn for strevet,nob,3879
få løpepass,nob,343
få mye for pengene,nob,1232
få noe attpå,nob,109
få noe for seg,nob,1013
få noe i vrangstrupen,nob,230
få noe å bite i,nob,1800
få noe å tenke på,nob,2009
få noe å tygge på,nob,1222
få noen i tale,nob,374
få noen på kroken,nob,166
få nyss om noe,nob,158
få opp dampen,nob,3920
få oppreisning,nob,7337
få planke,nob,161
få primadonnanykker,nob,133
få riper i lakken,nob,689
få ro i sjelen,nob,1224
få rødt lys,nob,390
få seg en kalddusj,nob,212
få seg en karamell,nob,136
få seg en lærepenge,nob,1096
få seg en på kjeften,nob,262
få seg en smekk,nob,2010
få seg et spark,nob,267
få sin del av kaken,nob,661
få sin skjebne beseglet,nob,271
få sitt,nob,319582
få sitt pass påskrevet,nob,2006
få snøret i bånn,nob,818
få stryk,nob,3020
få så ørene flagrer,nob,323
få tiden til å gå,nob,33854
få tresmak i baken,nob,130
få vann på mølla,nob,1552
føle hverandre på tennene,nob,1951
føle med noen,nob,111
føle seg for,nob,25174
føle seg fram,nob,9605
føle seg hjemme,nob,40227
føle seg ille til mote,nob,3083
føle seg kallet,nob,5100
føle seg ovenpå,nob,900
føle seg pigg,nob,124
følge den slagne landevei,nob,414
følge en stø kurs,nob,126
følge med i dragsuget,nob,685
følge med i timen,nob,3184
følge med på kjøpet,nob,1156
følge med strømmen,nob,2772
følge sitt eget hode,nob,811
følges ad,nob,24861
før hanen galer,nob,5515
før man aner det,nob,1692
føre an,nob,20483
føre det store ord,nob,2637
føre for vidt,nob,23453
føre stort hus,nob,498
føre til slakterbenken,nob,126
føre vill,nob,2319
først og fremst,nob,3011653
føye spott til skade,nob,413
gamle dager,nob,845701
gamle kumpaner,nob,461
gamle synder,nob,55537
gammel kjærlighet ruster ikke,nob,5890
gammel som alle haugene,nob,1270
gammel vane er vond å vende,nob,5903
gang på gang,nob,658576
gape over,nob,22108
gape over for mye,nob,6724
gi avkall på noe,nob,9287
gi bakerens barn brød,nob,485
gi fødselshjelp,nob,578
gi gass,nob,18450
gi gjenklang,nob,5064
gi igjen,nob,12754
gi igjen med renter,nob,138
gi igjen med samme mynt,nob,1315
gi jernet,nob,7426
gi med rund hånd,nob,117
gi noen en ørefik,nob,120
gi og ta,nob,41381
gi på båten,nob,1895
gi seg mens leken er god,nob,1143
gi seg selv,nob,20074
gi seg til kjenne,nob,20012
gi slipp på noe,nob,4015
gi så det svir,nob,1612
gi til beste,nob,9516
gi ved dørene,nob,4326
gid det var så vel,nob,4737
gjengjelde ondt med godt,nob,1698
gjøre alt som står i ens makt,nob,347
gjøre anskrik,nob,5126
gjøre det,nob,2821477
gjøre det forbi,nob,1500
gjøre det helt store,nob,9589
gjøre det hett for noen,nob,954
gjøre det månelyst,nob,214
gjøre en helhjertet innsats,nob,784
gjøre en mygg til en elefant,nob,1033
gjøre en tabbe,nob,2821
gjøre en vri,nob,6619
gjøre et godt kjøp,nob,10006
gjøre et helhjertet forsøk,nob,761
gjøre fakter,nob,255
gjøre furore,nob,2641
gjøre gagns arbeid,nob,972
gjøre gode miner til slett spill,nob,6280
gjøre grimaser,nob,1797
gjøre gull av gråstein,nob,1202
gjøre hverken fra eller til,nob,1850
gjøre kur til noen,nob,124
gjøre kvalm,nob,1693
gjøre kål på noen,nob,113
gjøre lite av seg,nob,164
gjøre miner,nob,597
gjøre natt til dag,nob,949
gjøre noe godt igjen,nob,1247
gjøre noe halvhjertet,nob,211
gjøre noe i tide,nob,115
gjøre noe med vilje,nob,112
gjøre noe overilt,nob,2960
gjøre opp et mellomværende,nob,333
gjøre opp sitt bestikk,nob,553
gjøre rampestreker,nob,842
gjøre rent bord,nob,12681
gjøre rett for maten,nob,106
gjøre seg bort,nob,1353
gjøre seg dum,nob,299
gjøre seg hard,nob,3241
gjøre seg kostbar,nob,1647
gjøre seg liten,nob,2044
gjøre seg selv en bjørnetjeneste,nob,561
gjøre seg umulig,nob,540
gjøre sin lykke,nob,5152
gjøre sine hoser grønne,nob,3686
gjøre sine saker bra,nob,834
gjøre sitt,nob,398685
gjøre sitt ytterste,nob,53041
gjøre skam på noen,nob,107
gjøre som strutsen,nob,1075
gjøre studier i marken,nob,759
gjøre svart til hvitt,nob,1730
gjøre svenske av seg,nob,1558
gjøre ugagn,nob,6830
gjøre underverker,nob,34164
gjøre utslaget,nob,16030
gjøre vesen av seg,nob,275
glatt som en barnerumpe,nob,368
gleden er på min side,nob,3096
glimre med sitt fråvær,nob,1333
glimt i øyet,nob,168412
glimte til,nob,6852
gni salt i såret,nob,490
gni seg i hendene,nob,12832
god som gull,nob,22274
gode busser,nob,10987
gods og gull,nob,33467
"godt brølt, løve",nob,237
granske hjerter og nyrer,nob,4157
grave grøfter,nob,8882
grave sin egen grav,nob,4687
grei skuring,nob,17074
greie brasene,nob,7115
gresset er alltid grønnere på den andre siden,nob,355
gripe dypt i pungen,nob,491
gripe inn,nob,624554
gripe sjansen,nob,26644
grov kjeft,nob,12849
grovt skyts,nob,8661
gråte over spilt melk,nob,6546
gråte som et barn,nob,1147
gud forby,nob,14242
gud og hvermann,nob,18523
gudsord fra landet,nob,4065
gul og blå,nob,20928
gullet mitt,nob,5743
gå all kjødets gang,nob,911
gå arm i arm,nob,4361
gå av hengslene,nob,5069
gå av med seieren,nob,15949
gå av seg selv,nob,4264
gå av stabelen,nob,98623
gå bakveier,nob,830
gå bananas,nob,2198
gå beit,nob,667
gå berserk,nob,4869
gå bort,nob,216423
gå botsgang,nob,446
gå både vinter og vår,nob,6886
gå den tunge gang,nob,5333
gå den veien høna sparker,nob,1112
gå en dyster fremtid i møte,nob,157
gå fem på,nob,2196
gå fiskebein,nob,1249
gå for egen maskin,nob,3638
gå for full fres,nob,189
gå for fulle hus,nob,517
gå for halv maskin,nob,1448
gå for lut og kaldt vann,nob,5870
gå for seg,nob,35286
gå foran,nob,241720
gå fra dør til dør,nob,11207
gå fra hus til hus,nob,5353
gå fra hånd til hånd,nob,1215
gå fra konseptene,nob,5214
gå fra munn til munn,nob,677
gå fra ord til handling,nob,1852
gå fra sans og samling,nob,1792
gå fra vondt til verre,nob,1628
gå føyken,nob,237
gå glipp av noe,nob,17287
gå gradene,nob,5005
gå grundig til verks,nob,7431
gå heden,nob,558
gå hele veien,nob,14526
gå hjem,nob,234338
gå hull på byllen,nob,437
gå hver sin vei,nob,5211
gå hver til sitt,nob,6568
gå i baret,nob,7397
gå i berg,nob,379
gå i dass,nob,1305
gå i dekning,nob,24204
gå i dype tanker,nob,116
gå i dørken,nob,886
gå i ett med tapetet,nob,341
gå i filler,nob,1059
gå i garnet,nob,839
gå i gåsegang,nob,908
gå i hi,nob,6991
gå i klinsj,nob,1230
gå i kloster,nob,12274
gå i stå,nob,23734
gå i svart,nob,2232
gå i taket,nob,3017
gå i takt,nob,12788
gå i trykken,nob,11287
